printNodeList----> No.of nodes: 195
+--------+------------+--------+-----------------+--------+--------+--------+--------+--------+--------+
|  Node  | Node_Type  |  Prev  |      Next       |  CC0   |  CC1   |  SC0   |  SC1   |   CO   |   SO   |
| 53 (151) |          2 |     18 | 44 45            |      2 |      2 |    inf |    inf |     40 |    inf |
| 54 (154) |          2 |     19 | 46 50            |      4 |      2 |    inf |    inf |     18 |    inf |
| 55 (157) |          2 |     20 | 68              |      2 |      4 |    inf |    inf |     38 |    inf |
| 56 (158) |          2 |     21 | 69              |      2 |      4 |    inf |    inf |     89 |    inf |
| 57 (159) |          2 |     22 | 46 51            |      4 |      2 |    inf |    inf |     18 |    inf |
| 58 (162) |          2 |     23 | 46 52            |      4 |      2 |    inf |    inf |     18 |    inf |
| 59 (165) |          2 |     24 | 46 53            |      4 |      2 |    inf |    inf |     18 |    inf |
| 60 (168) |          2 |     25 | 46 54            |      4 |      2 |    inf |    inf |     18 |    inf |
| 61 (171) |          2 |     26 | 46 55            |      4 |      2 |    inf |    inf |     18 |    inf |
| 62 (174) |          2 |     27 | 46 57            |      4 |      2 |    inf |    inf |     18 |    inf |
| 63 (177) |          2 |     28 | 46 59            |      4 |      2 |    inf |    inf |     18 |    inf |
| 64 (180) |          2 |     29 | 46 61            |      4 |      2 |    inf |    inf |     18 |    inf |
| 65 (183) |          2 |     30 | 70              |      2 |      4 |    inf |    inf |     38 |    inf |
| 66 (184) |          2 |     31 | 78              |      2 |      4 |    inf |    inf |     89 |    inf |
| 67 (185) |          2 |     32 | 71              |      2 |      4 |    inf |    inf |     38 |    inf |
| 68 (186) |          2 |     33 | 79              |      2 |      4 |    inf |    inf |     89 |    inf |
| 69 (187) |          2 |     34 | 72              |      2 |      4 |    inf |    inf |     38 |    inf |
| 70 (188) |          2 |     35 | 80              |      2 |      4 |    inf |    inf |     89 |    inf |
| 71 (189) |          2 |     36 | 73              |      2 |      4 |    inf |    inf |     38 |    inf |
| 72 (190) |          2 |     37 | 81              |      2 |      4 |    inf |    inf |     89 |    inf |
| 73 (191) |          2 |     38 | 74              |      2 |      4 |    inf |    inf |     38 |    inf |
| 74 (192) |          2 |     39 | 82              |      2 |      4 |    inf |    inf |     89 |    inf |
| 75 (193) |          2 |     40 | 75              |      2 |      4 |    inf |    inf |     38 |    inf |
| 76 (194) |          2 |     41 | 83              |      2 |      4 |    inf |    inf |     89 |    inf |
| 77 (195) |          2 |     42 | 76              |      2 |      4 |    inf |    inf |     38 |    inf |
| 78 (196) |          2 |     43 | 84              |      2 |      4 |    inf |    inf |     89 |    inf |
| 79 (197) |          2 |     44 | 77              |      2 |      4 |    inf |    inf |     38 |    inf |
| 80 (198) |          2 |     45 | 85              |      2 |      4 |    inf |    inf |     89 |    inf |
| 81 (199) |          2 |     46 | 47 48 49          |      5 |     19 |    inf |    inf |      1 |    inf |
| 82 (203) |          2 |     47 | 50 51 52 53 54 55 57 59 61    |     20 |      6 |    inf |    inf |     32 |    inf |
| 83 (213) |          2 |     48 | 56 58 60 62 63 64 65 66 67    |     20 |      6 |    inf |    inf |     17 |    inf |
| 84 (223) |          1 |     49 | -1               |     20 |      6 |    inf |    inf |      0 |      0 |
| 85 (224) |          2 |     50 | 68 69            |      9 |     11 |    inf |    inf |     31 |    inf |
| 86 (227) |          2 |     51 | 70 78            |      9 |     11 |    inf |    inf |     31 |    inf |
| 87 (230) |          2 |     52 | 71 79            |      9 |     11 |    inf |    inf |     31 |    inf |
| 88 (233) |          2 |     53 | 72 80            |      9 |     11 |    inf |    inf |     31 |    inf |
| 89 (236) |          2 |     54 | 73 81            |      9 |     11 |    inf |    inf |     31 |    inf |
| 90 (239) |          2 |     55 | 74 82            |      9 |     11 |    inf |    inf |     31 |    inf |
| 91 (242) |          2 |     56 | 138              |      8 |      2 |    inf |    inf |     17 |    inf |
| 92 (243) |          2 |     57 | 75 83            |      9 |     11 |    inf |    inf |     31 |    inf |
| 93 (246) |          2 |     58 | 139              |      8 |      2 |    inf |    inf |     15 |    inf |
| 94 (247) |          2 |     59 | 76 84            |      9 |     11 |    inf |    inf |     31 |    inf |
| 95 (250) |          2 |     60 | 140              |      8 |      2 |    inf |    inf |     15 |    inf |
| 96 (251) |          2 |     61 | 77 85            |      9 |     11 |    inf |    inf |     31 |    inf |
| 97 (254) |          2 |     62 | 141              |      8 |      2 |    inf |    inf |     17 |    inf |
| 98 (255) |          2 |     63 | 142              |      8 |      2 |    inf |    inf |     15 |    inf |
| 99 (256) |          2 |     64 | 143              |      8 |      2 |    inf |    inf |     23 |    inf |
| 100 (257) |          2 |     65 | 144              |      8 |      2 |    inf |    inf |     21 |    inf |
| 101 (258) |          2 |     66 | 145              |      8 |      2 |    inf |    inf |     25 |    inf |
| 102 (259) |          2 |     67 | 146              |      8 |      2 |    inf |    inf |     25 |    inf |
| 103 (260) |          2 |     68 | 86 99            |     16 |      3 |    inf |    inf |     26 |    inf |
| 104 (263) |          2 |     69 | 87              |     16 |      3 |    inf |    inf |     77 |    inf |
| 105 (264) |          2 |     70 | 86 100            |     16 |      3 |    inf |    inf |     26 |    inf |
| 106 (267) |          2 |     71 | 86 101            |     16 |      3 |    inf |    inf |     26 |    inf |
| 107 (270) |          2 |     72 | 86 102            |     16 |      3 |    inf |    inf |     26 |    inf |
| 108 (273) |          2 |     73 | 86 104            |     16 |      3 |    inf |    inf |     26 |    inf |
| 109 (276) |          2 |     74 | 86 106            |     16 |      3 |    inf |    inf |     26 |    inf |
| 110 (279) |          2 |     75 | 86 108            |     16 |      3 |    inf |    inf |     26 |    inf |
| 111 (282) |          2 |     76 | 86 110            |     16 |      3 |    inf |    inf |     26 |    inf |
| 112 (285) |          2 |     77 | 86 112            |     16 |      3 |    inf |    inf |     26 |    inf |
| 113 (288) |          2 |     78 | 88              |     16 |      3 |    inf |    inf |     77 |    inf |
| 114 (289) |          2 |     79 | 89              |     16 |      3 |    inf |    inf |     77 |    inf |
| 115 (290) |          2 |     80 | 90              |     16 |      3 |    inf |    inf |     77 |    inf |
| 116 (291) |          2 |     81 | 91              |     16 |      3 |    inf |    inf |     77 |    inf |
| 117 (292) |          2 |     82 | 92              |     16 |      3 |    inf |    inf |     77 |    inf |
| 118 (293) |          2 |     83 | 93              |     16 |      3 |    inf |    inf |     77 |    inf |
| 119 (294) |          2 |     84 | 94              |     16 |      3 |    inf |    inf |     77 |    inf |
| 120 (295) |          2 |     85 | 95              |     16 |      3 |    inf |    inf |     77 |    inf |
| 121 (296) |          2 |     86 | 96 97 98          |     17 |     28 |    inf |    inf |      1 |    inf |
| 122 (300) |          2 |     87 | 117              |      4 |     17 |    inf |    inf |     76 |    inf |
| 123 (301) |          2 |     88 | 118              |      4 |     17 |    inf |    inf |     76 |    inf |
| 124 (302) |          2 |     89 | 119              |      4 |     17 |    inf |    inf |     76 |    inf |
| 125 (303) |          2 |     90 | 120              |      4 |     17 |    inf |    inf |     76 |    inf |
| 126 (304) |          2 |     91 | 121              |      4 |     17 |    inf |    inf |     76 |    inf |
| 127 (305) |          2 |     92 | 122              |      4 |     17 |    inf |    inf |     76 |    inf |
| 128 (306) |          2 |     93 | 123              |      4 |     17 |    inf |    inf |     76 |    inf |
| 129 (307) |          2 |     94 | 124              |      4 |     17 |    inf |    inf |     76 |    inf |
| 130 (308) |          2 |     95 | 125              |      4 |     17 |    inf |    inf |     76 |    inf |
| 131 (309) |          2 |     96 | 99 100 101 102 104 106 108 110 112    |     29 |     18 |    inf |    inf |     61 |    inf |
| 132 (319) |          2 |     97 | 103 105 107 109 111 113 114 115 116    |     29 |     18 |    inf |    inf |     17 |    inf |
| 133 (329) |          1 |     98 | -1               |     29 |     18 |    inf |    inf |      0 |      0 |
| 134 (330) |          2 |     99 | 117              |     22 |     33 |    inf |    inf |     60 |    inf |
| 135 (331) |          2 |    100 | 118              |     22 |     33 |    inf |    inf |     60 |    inf |
| 136 (332) |          2 |    101 | 119              |     22 |     33 |    inf |    inf |     60 |    inf |
| 137 (333) |          2 |    102 | 120              |     22 |     33 |    inf |    inf |     60 |    inf |
| 138 (334) |          2 |    103 | 138              |     20 |      2 |    inf |    inf |     17 |    inf |
| 139 (335) |          2 |    104 | 121              |     22 |     33 |    inf |    inf |     60 |    inf |
| 140 (336) |          2 |    105 | 139              |     20 |      2 |    inf |    inf |     15 |    inf |
| 141 (337) |          2 |    106 | 122              |     22 |     33 |    inf |    inf |     60 |    inf |
| 142 (338) |          2 |    107 | 140              |     20 |      2 |    inf |    inf |     15 |    inf |
| 143 (339) |          2 |    108 | 123              |     22 |     33 |    inf |    inf |     60 |    inf |
| 144 (340) |          2 |    109 | 141              |     20 |      2 |    inf |    inf |     17 |    inf |
| 145 (341) |          2 |    110 | 124              |     22 |     33 |    inf |    inf |     60 |    inf |
| 146 (342) |          2 |    111 | 142              |     20 |      2 |    inf |    inf |     15 |    inf |
| 147 (343) |          2 |    112 | 125              |     22 |     33 |    inf |    inf |     60 |    inf |
| 148 (344) |          2 |    113 | 143              |     20 |      2 |    inf |    inf |     23 |    inf |
| 149 (345) |          2 |    114 | 144              |     20 |      2 |    inf |    inf |     21 |    inf |
| 150 (346) |          2 |    115 | 145              |     20 |      2 |    inf |    inf |     25 |    inf |
| 151 (347) |          2 |    116 | 146              |     20 |      2 |    inf |    inf |     25 |    inf |
| 152 (348) |          2 |    117 | 126              |     51 |      5 |    inf |    inf |     42 |    inf |
| 153 (349) |          2 |    118 | 126              |     51 |      5 |    inf |    inf |     42 |    inf |
| 154 (350) |          2 |    119 | 126              |     51 |      5 |    inf |    inf |     42 |    inf |
| 155 (351) |          2 |    120 | 126              |     51 |      5 |    inf |    inf |     42 |    inf |
| 156 (352) |          2 |    121 | 126              |     51 |      5 |    inf |    inf |     42 |    inf |
| 157 (353) |          2 |    122 | 126              |     51 |      5 |    inf |    inf |     42 |    inf |
| 158 (354) |          2 |    123 | 126              |     51 |      5 |    inf |    inf |     42 |    inf |
| 159 (355) |          2 |    124 | 126              |     51 |      5 |    inf |    inf |     42 |    inf |
| 160 (356) |          2 |    125 | 126              |     51 |      5 |    inf |    inf |     42 |    inf |
| 161 (357) |          2 |    126 | 127 128            |     52 |     46 |    inf |    inf |      1 |    inf |
| 162 (360) |          2 |    127 | 129 130 131 132 133 134 135 136 137    |     47 |     53 |    inf |    inf |     17 |    inf |
| 163 (370) |          1 |    128 | -1               |     47 |     53 |    inf |    inf |      0 |      0 |
| 164 (371) |          2 |    129 | 138              |     55 |      2 |    inf |    inf |     17 |    inf |
| 165 (372) |          2 |    130 | 139              |     55 |      2 |    inf |    inf |     15 |    inf |
| 166 (373) |          2 |    131 | 140              |     55 |      2 |    inf |    inf |     15 |    inf |
| 167 (374) |          2 |    132 | 141              |     55 |      2 |    inf |    inf |     17 |    inf |
| 168 (375) |          2 |    133 | 142              |     55 |      2 |    inf |    inf |     15 |    inf |
| 169 (376) |          2 |    134 | 143              |     55 |      2 |    inf |    inf |     23 |    inf |
| 170 (377) |          2 |    135 | 144              |     55 |      2 |    inf |    inf |     21 |    inf |
| 171 (378) |          2 |    136 | 145              |     55 |      2 |    inf |    inf |     25 |    inf |
| 172 (379) |          2 |    137 | 146              |     55 |      2 |    inf |    inf |     25 |    inf |
| 173 (380) |          2 |    138 | 147              |      8 |      2 |    inf |    inf |     11 |    inf |
| 174 (381) |          2 |    139 | 148 158 159 160        |      8 |      2 |    inf |    inf |      9 |    inf |
| 175 (386) |          2 |    140 | 148 154 155 157 158 159    |      8 |      2 |    inf |    inf |      9 |    inf |
| 176 (393) |          2 |    141 | 148 149 155 156 157      |      8 |      2 |    inf |    inf |     11 |    inf |
| 177 (399) |          2 |    142 | 148 155 156 158        |      8 |      2 |    inf |    inf |      9 |    inf |
| 178 (404) |          2 |    143 | 148 150            |      8 |      2 |    inf |    inf |     17 |    inf |
| 179 (407) |          2 |    144 | 148 151 157          |      8 |      2 |    inf |    inf |     15 |    inf |
| 180 (411) |          2 |    145 | 148 152            |      8 |      2 |    inf |    inf |     19 |    inf |
| 181 (414) |          2 |    146 | 148              |      8 |      2 |    inf |    inf |     19 |    inf |
| 182 (415) |          2 |    147 | 153              |      3 |      9 |    inf |    inf |     10 |    inf |
| 183 (416) |          2 |    148 | 153              |      9 |     17 |    inf |    inf |      4 |    inf |
| 184 (417) |          2 |    149 | 154              |      3 |      9 |    inf |    inf |     10 |    inf |
| 185 (418) |          2 |    150 | 155              |      3 |      9 |    inf |    inf |     16 |    inf |
| 186 (419) |          2 |    151 | 156              |      3 |      9 |    inf |    inf |     14 |    inf |
| 187 (420) |          2 |    152 | 157              |      3 |      9 |    inf |    inf |     18 |    inf |
| 188 (421) |          1 |    153 | -1               |     10 |     13 |    inf |    inf |      0 |      0 |
| 189 (422) |          2 |    154 | 158 160            |     12 |      4 |    inf |    inf |      7 |    inf |
| 190 (425) |          2 |    155 | 159 160            |     16 |      4 |    inf |    inf |      9 |    inf |
| 191 (428) |          2 |    156 | 159              |     14 |      4 |    inf |    inf |      9 |    inf |
| 192 (429) |          2 |    157 | 160              |     16 |      4 |    inf |    inf |     11 |    inf |
| 193 (430) |          1 |    158 | -1               |     11 |      9 |    inf |    inf |      0 |      0 |
| 194 (431) |          1 |    159 | -1               |     13 |      9 |    inf |    inf |      0 |      0 |
| 195 (432) |          1 |    160 | -1               |     15 |      9 |    inf |    inf |      0 |      0 |
+--------+------------+--------+-----------------+--------+--------+--------+--------+--------+--------+
